Nombre,Final,Máximo,Mínimo,Volumen,Efectivo
ACCIONA,9595,9675,944,84962,816611
ACERINOX,8668,8672,8468,88599,763381
ACS,3728,3766,3722,655982,2451729
AENA,1671,1675,1661,133738,2233610
AMADEUS,6996,7064,6956,640476,4479547
ARCELORMIT,14152,14318,1408,702841,998965
BASABADELL,10165,1033,10165,12358512,1263765
BASANTANDER,402,40675,401,36129692,14576544
BANKIA,2249,2262,2224,3024454,680354
BANKINTER,656,6604,6522,1375976,903020
BBVA,5024,505,4969,26447612,13256015
CAIXABANK,2763,2806,2762,13031097,3623922
CELLNEX,3017,307,3017,857237,2596529
CIE AUTOMOT,2344,2374,234,99506,234309
ENAGAS,256,2566,2507,84254,2152477
ENCE,3882,3974,3846,2099698,821983
ENDESA,2295,2303,2262,1236799,2823346
FERROVIAL,2161,2172,2138,2065931,4465605
GRIFOLS CLA,233,236,2327,719503,1678755
IAG,53,546,5292,2155081,1156195
IBERDROLA,845,845,8262,15637958,13142605
INDITEX,2493,2519,2487,2600144,6501292
INDRA A,956,9685,9535,39206,375557
INMCOLONIAL,9915,9915,9745,671753,664038
MAPFRE,2654,2654,262,3045972,806313
MEDIASET,6446,6592,6446,2647557,1727704
MELIA HOTELS,814,819,802,48021,391493
MERLIN,1208,1208,1183,777543,935777
NATURGY,267,2677,2653,2100737,5598654
REC,19705,19875,19675,1246171,2458533
REPSOL,14515,14605,1446,5046648,7333378
SIEMENS GAME,1433,1439,14155,1054847,1508456
TECREUNIDAS,23,232,2278,1221,280719
TELEFONICA,7204,7256,7185,9913249,7156499
VISCOFAN,4846,4912,4846,6771,329543
